,prediction,target,match,model,data_root,file_names
0,3,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_0.npz
1,1,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_1.npz
2,7,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_2.npz
3,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_3.npz
4,3,6,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_4.npz
5,4,4,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_5.npz
6,5,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_6.npz
7,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_7.npz
8,5,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_8.npz
9,7,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_9.npz
10,5,3,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_10.npz
11,4,4,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_11.npz
12,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_12.npz
13,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_13.npz
14,4,4,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_14.npz
15,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_15.npz
16,4,7,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_16.npz
17,1,1,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_17.npz
18,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_18.npz
19,3,7,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_19.npz
20,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_20.npz
21,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_21.npz
22,3,3,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_22.npz
23,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_23.npz
24,3,6,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_24.npz
25,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_25.npz
26,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_26.npz
27,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_27.npz
28,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_28.npz
29,6,6,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_29.npz
30,3,7,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_30.npz
31,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_31.npz
32,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_32.npz
33,7,7,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_33.npz
34,5,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_34.npz
35,1,1,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_35.npz
36,5,6,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_36.npz
37,4,5,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_37.npz
38,1,1,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_38.npz
39,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_39.npz
40,6,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_40.npz
41,3,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_41.npz
42,3,5,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_42.npz
43,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_43.npz
44,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_44.npz
45,2,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_45.npz
46,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_46.npz
47,5,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_47.npz
48,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_48.npz
49,2,2,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_49.npz
50,3,3,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_50.npz
51,5,5,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_51.npz
52,3,3,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_52.npz
53,3,3,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_53.npz
54,4,1,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_54.npz
55,0,4,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_55.npz
56,0,4,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_56.npz
57,6,2,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_57.npz
58,1,0,0,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_58.npz
59,0,0,1,pretrained-raven-fair,/home/victorvikram/Ravens/MRNet/PROBE/sameness,sameness_test_59.npz
