,prediction,target,match,model,data_root,file_names
0,3,3,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_0.npz
1,5,5,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_1.npz
2,3,3,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_2.npz
3,3,3,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_3.npz
4,4,1,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_4.npz
5,0,4,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_5.npz
6,0,4,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_6.npz
7,6,2,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_7.npz
8,1,0,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_8.npz
9,0,0,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,center_single/sameness_test_9.npz
10,1,2,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_four/sameness_test_10.npz
11,7,2,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_four/sameness_test_11.npz
12,0,0,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_four/sameness_test_12.npz
13,3,1,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_four/sameness_test_13.npz
14,4,4,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_34.npz
15,0,0,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_35.npz
16,6,6,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_36.npz
17,4,4,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_37.npz
18,5,5,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_38.npz
19,4,7,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_39.npz
20,1,1,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_40.npz
21,6,6,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_41.npz
22,3,7,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_42.npz
23,0,0,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_43.npz
24,5,5,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_44.npz
25,3,3,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_45.npz
26,5,5,1,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_46.npz
27,3,6,0,pretrained-raven-f,/home/victorvikram/Ravens/MRNet/PROBE/same,distribute_nine/sameness_test_47.npz
